,time,count
793,54693.39716862537,0.4114087
794,54693.39817707444,0.6101929
795,54693.39907620639,0.5911155
796,54693.40100936611,0.4114287
797,54693.46163653046,0.574022
798,54693.46254629898,0.5943878
799,54693.4634560675,0.7208281
800,54693.46422654203,0.581994
801,54693.465485801295,0.6627626
802,54693.52952721333,0.7951025
803,54693.53028318555,0.6669335
804,54693.531066715645,0.5652624
805,54693.53212510685,0.6286858
806,54694.19318723648,0.5981276
807,54694.19393905361,0.9235691
808,54694.19480238694,0.4767851
809,54694.19574118324,0.6451749
810,54694.196745257315,0.4983514
811,54694.197652132316,0.7065188
812,54694.198508208705,0.5662552
813,54694.19950247954,0.4967985
814,54694.20061491009,0.5342614
815,54694.20153787306,0.6248748
816,54694.20227456287,0.9020946
817,54694.202894551294,0.6751865
818,54694.20362584759,0.7026958
819,54694.204790998054,0.6196448
820,54694.260668868425,0.4904869
821,54694.261722282776,0.4615757
822,54694.262755384625,0.590382
823,54694.26356925037,0.8097373
824,54694.264409516574,0.4443253
825,54694.26553845176,0.7550026
826,54694.266590072126,0.4731733
827,54694.26765931981,0.6482859
828,54695.13187159991,0.7921741
829,54695.132517294354,0.642685
830,54695.133377722595,0.607995
831,54695.133969724906,1.018902
832,54695.13460090546,0.6836901
833,54695.13514793092,1.100402
834,54695.135821391574,0.5804533
835,54695.136672919354,0.7050179
836,54695.13767653046,0.7421995
837,54695.19631869481,0.8313157
838,54695.1971544587,0.574614
839,54695.19776677352,1.019578
840,54695.1987604425,0.6866385
841,54695.26383966704,0.6321308
842,54695.26451675037,1.011929
843,54695.26551216704,0.5909478
844,54695.33040803509,0.8190182
845,54695.33099300037,0.7984012
846,54695.331609458706,1.016317
847,54695.332711669354,0.5960836
848,54695.398740604534,0.6158772
849,54695.4665811138,0.7756146
850,54695.467537722594,0.6220577
851,54695.468591148514,0.5344822
852,54695.46946754898,0.8775129
853,54695.47060367167,0.4808064
854,54695.471556970275,0.7780702
855,54695.4725403499,0.6019319
856,54696.13558041935,0.5434453
857,54696.13643506056,0.5487293
858,54696.137539261945,0.5105314
859,54696.13829522259,0.6637146
860,54696.139242722595,0.5243029
861,54696.14005526889,0.5873816
862,54696.1408141462,0.7119799
863,54696.14179936611,0.4784217
864,54696.142860824446,0.505906
865,54696.20245482907,0.4756808
866,54696.20334719018,0.4743999
867,54696.20433241009,0.6685346
868,54696.20523347491,0.5257625
869,54696.206041680925,0.6713306
870,54696.206923879996,0.4674489
871,54696.20795118324,0.5296628
872,54696.20892188926,0.4857446
873,54696.21000041935,0.6113418
874,54696.26910136842,0.4284037
875,54696.2700125837,0.7200296
876,54696.27079903046,0.5967643
877,54696.27166962074,0.4427502
878,54696.27275786148,0.5956948
879,54696.27401366009,0.3424922
